Component,JLCPCB Part No.,Amount,Ind. Price (USD),Extended (y/n),Total Price (USD)
HDC1080DMBR,C82227,5,1.59,y,10.95
ALS-PDIC15-21B/TR8,C131243,5,0.43,y,5.15
AT24C256C-SSHL-T EEPROM,C6482,5,0.4906,y,5.453
FT230XS-R,C69082,5,3.7503,y,18.7515
100 Ohm 1206 Chip Resistor,C17901,5,0.003,n,0.015
330 Ohm 0805 Chip Resistor,C17630,5,0.0016,n,0.008
2 kOhm 0402 Chip Resistor,C4109,25,0.0005,n,0.0125
10 kOhm 0603 Chip Resistor,C25804,5,0.0009,n,0.0045
100 kOhm 0603 Chip Resistor,C25803,5,0.0011,n,0.0055
100nF 0402 Chip Ceramic Capacitor,C1525,10,0.0011,n,0.011
10uF 0603 Chip Ceramic Capacitor,C19702,5,0.0066,n,0.033
1uF 0402 Multilayer Ceramic Capacitor,C1523,10,0.001,n,0.01
10uH 1206 Chip Inductor,C1051,5,0.0155,n,0.0775
SMA(DO-214AC) Schottky Diode,C22452,10,0.0463,n,0.463
2N7002 N MOSFET,C8545,15,0.0153,n,0.2295
USB_B_Micro Female,C668587,5,0.0399,y,3.1995
HT7750S-SOT89,C259568,5,0.3192,y,4.596
HT7533-1-SOT89,C14289,5,0.1315,n,0.6575
HY2113-KB5B-SOT23,C168771,5,0.1308,y,3.654
ASSEMBLY,,,,,12
SHIPPING,,,,,20
TOTAL,,,,,66.5195
